Symbol,Security Name,Industry
3MINDIA,3M India Ltd.,SERVICES
ABB,ABB India Ltd.,INDUSTRIAL MANUFACTURING
ACC,ACC Ltd.,CEMENT & CEMENT PRODUCTS
AIAENG,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING
APLAPOLLO,APL Apollo Tubes Ltd.,METALS
AUBANK,AU Small Finance Bank Ltd.,FINANCIAL SERVICES
AARTIIND,Aarti Industries Ltd.,CHEMICALS
AAVAS,Aavas Financiers Ltd.,FINANCIAL SERVICES
ABBOTINDIA,Abbott India Ltd.,PHARMA
ADANIGAS,Adani Gas Ltd.,OIL & GAS
ADANIGREEN,Adani Green Energy Ltd.,POWER
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES
ADANIPOWER,Adani Power Ltd.,POWER
ADANITRANS,Adani Transmission Ltd.,POWER
ABCAPITAL,Aditya Birla Capital Ltd.,FINANCIAL SERVICES
ADVENZYMES,Advanced Enzyme Tech Ltd.,CONSUMER GOODS
AEGISCHEM,Aegis Logistics Ltd.,OIL & GAS
AFFLE,Affle (India) Ltd.,IT
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,PHARMA
AKZOINDIA,Akzo Nobel India Ltd.,CONSUMER GOODS
APLLTD,Alembic Pharmaceuticals Ltd.,PHARMA
ALKEM,Alkem Laboratories Ltd.,PHARMA
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,CHEMICALS
ALLCARGO,Allcargo Logistics Ltd.,SERVICES
AMARAJABAT,Amara Raja Batteries Ltd.,AUTOMOBILE
AMBER,Amber Enterprises India Ltd.,CONSUMER GOODS
AMBUJACEM,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES
APOLLOTYRE,Apollo Tyres Ltd.,AUTOMOBILE
ARVINDFASN,Arvind Fashions Ltd.,CONSUMER GOODS
ASAHIINDIA,Asahi India Glass Ltd.,AUTOMOBILE
ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILE
ASHOKA,Ashoka Buildcon  Ltd.,CONSTRUCTION
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS
ASTERDM,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES
ASTRAZEN,AstraZenca Pharma India Ltd.,PHARMA
ASTRAL,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING
ATUL,Atul Ltd.,CHEMICALS
AUROPHARMA,Aurobindo Pharma Ltd.,PHARMA
DMART,Avenue Supermarts Ltd.,CONSUMER GOODS
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES
BASF,BASF India Ltd.,CHEMICALS
BEML,BEML Ltd.,INDUSTRIAL MANUFACTURING
BSE,BSE Ltd.,FINANCIAL SERVICES
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE
BAJAJCON,Bajaj Consumer Care Ltd.,CONSUMER GOODS
BAJAJELEC,Bajaj Electricals Ltd,CONSUMER GOODS
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES
BALKRISIND,Balkrishna Industries Ltd.,AUTOMOBILE
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,INDUSTRIAL MANUFACTURING
BALRAMCHIN,Balrampur Chini Mills Ltd.,CONSUMER GOODS
BANDHANBNK,Bandhan Bank Ltd.,FINANCIAL SERVICES
BANKBARODA,Bank of Baroda,FINANCIAL SERVICES
BANKINDIA,Bank oflndia,FINANCIAL SERVICES
MAHABANK,Bank of Maharashtra.,FINANCIAL SERVICES
BATAINDIA,Bata India Ltd.,CONSUMER GOODS
BAYERCROP,Bayer Cropscience Ltd.,FERTILISERS & PESTICIDES
BERGEPAINT,Berger Paints India Ltd.,CONSUMER GOODS
BDL,Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING
BEL,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING
BHARATFORG,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING
BHEL,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING
BPCL,Bharat Petroleum Corporation Ltd.,OIL & GAS
BHARATRAS,Bharat Rasayan Ltd.,FERTILISERS & PESTICIDES
BHARTIARTL,Bharti Airtel Ltd.,TELECOM
INFRATEL,Bharti Infratel Ltd.,TELECOM
BIOCON,Biocon Ltd.,PHARMA
BIRLACORPN,Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS
BSOFT,Birlasoft Ltd.,IT
BLISSGVS,Bliss GVS Pharma Ltd.,PHARMA
BLUEDART,Blue Dart Express Ltd.,SERVICES
BLUESTARCO,Blue Star Ltd.,CONSUMER GOODS
BBTC,Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS
BRIGADE,Brigade Enterprises Ltd.,CONSTRUCTION
BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS
CARERATING,CARE Ratings Ltd.,FINANCIAL SERVICES
CCL,CCL Products (I) Ltd.,CONSUMER GOODS
CESC,CESC Ltd.,POWER
CRISIL,CRISIL Ltd.,FINANCIAL SERVICES
CSBBANK,CSB Bank Ltd.,FINANCIAL SERVICES
CADILAHC,Cadila Healthcare Ltd.,PHARMA
