daily_pnl,date,cum_daily_pnl,result
0,01-01-2013 05:30,0,0
25.74256165,02-01-2013 05:30,25.74256165,0.271138364
23.85091867,03-01-2013 05:30,23.85091867,0.38209489
14.19554907,04-01-2013 05:30,14.19554907,-0.080926008
18.27607589,07-01-2013 05:30,18.27607589,0.140995203
14.97353423,08-01-2013 05:30,14.97353423,-0.362908272
30.51970321,09-01-2013 05:30,30.51970321,-0.410463405
35.73662521,10-01-2013 05:30,35.73662521,-0.699957369
-1.248245701,11-01-2013 05:30,-1.248245701,0.51390823
15.9200024,14-01-2013 05:30,15.9200024,1.057024119
30.70626579,15-01-2013 05:30,30.70626579,0.1434964
6.744442886,16-01-2013 05:30,6.744442886,0.76669912
13.44040575,17-01-2013 05:30,13.44040575,1.187167263
0.204263876,18-01-2013 05:30,0.204263876,1.485834981
-3.824351086,21-01-2013 05:30,-3.824351086,0.921870438
2.398931435,22-01-2013 05:30,2.398931435,1.018642723
24.83448821,23-01-2013 05:30,24.83448821,0.435491561
-5.985959327,24-01-2013 05:30,-5.985959327,1.358193
17.00517374,25-01-2013 05:30,17.00517374,1.360694198
40.13225293,28-01-2013 05:30,40.13225293,0.945228415
50.7524226,29-01-2013 05:30,50.7524226,1.042839862
34.84860622,30-01-2013 05:30,34.84860622,0.692445668
31.22750504,31-01-2013 05:30,31.22750504,0.094271088
19.22734208,01-02-2013 05:30,19.22734208,-0.100112627
12.83093385,04-02-2013 05:30,12.83093385,-0.606517299
-11.93471196,05-02-2013 05:30,-11.93471196,-0.568135903
-4.682306269,06-02-2013 05:30,-4.682306269,-0.908525341
-35.30555262,07-02-2013 05:30,-35.30555262,-1.497518041
-49.34168475,08-02-2013 05:30,-49.34168475,-1.591789129
-51.87553527,11-02-2013 05:30,-51.87553527,-1.180494723
-64.34802684,12-02-2013 05:30,-64.34802684,-1.006128645
-73.13622396,13-02-2013 05:30,-73.13622396,-1.606804405
-94.1590922,14-02-2013 05:30,-94.1590922,-1.766155225
-83.98683809,15-02-2013 05:30,-83.98683809,-1.585947608
-81.80337991,18-02-2013 05:30,-81.80337991,-0.89350194
-43.72989924,19-02-2013 05:30,-43.72989924,-0.83761223
-40.53683406,20-02-2013 05:30,-40.53683406,-2.352646728
-77.6578617,21-02-2013 05:30,-77.6578617,-2.385186585
-67.58189225,22-02-2013 05:30,-67.58189225,-2.310933133
-88.69136765,25-02-2013 05:30,-88.69136765,-3.869351387
-125.4948453,26-02-2013 05:30,-125.4948453,-3.276187344
-108.2468205,27-02-2013 05:30,-108.2468205,-5.008971676
-118.8804135,28-02-2013 05:30,-118.8804135,-4.564298252
-122.135361,01-03-2013 05:30,-122.135361,-4.918032787
-149.6917463,04-03-2013 05:30,-149.6917463,-3.487256497
-116.9820393,05-03-2013 05:30,-116.9820393,-2.914110074
-111.1245077,06-03-2013 05:30,-111.1245077,-2.168275894
-94.26965223,07-03-2013 05:30,-94.26965223,-0.793389313
-67.92699786,08-03-2013 05:30,-67.92699786,-0.849287148
-63.28811503,11-03-2013 05:30,-63.28811503,-1.320650765
-78.50377455,12-03-2013 05:30,-78.50377455,-2.370163184
-109.7855101,13-03-2013 05:30,-109.7855101,-1.406579152
-90.62291641,14-03-2013 05:30,-90.62291641,-2.013096433
-97.44212945,15-03-2013 05:30,-97.44212945,-2.63629917
-101.2986053,18-03-2013 05:30,-101.2986053,-4.12630551
-121.6968366,19-03-2013 05:30,-121.6968366,-4.986444717
-164.4147534,20-03-2013 05:30,-164.4147534,-5.581278939
-190.5257806,21-03-2013 05:30,-190.5257806,-5.704749543
-218.6897415,22-03-2013 05:30,-218.6897415,-5.996744704
-216.7961256,25-03-2013 05:30,-216.7961256,-5.867432562
-248.0296839,26-03-2013 05:30,-248.0296839,-5.184168773
-215.8122859,28-03-2013 05:30,-215.8122859,-4.819590339
-192.0456229,01-04-2013 05:30,-192.0456229,-4.090433438
-168.6406507,02-04-2013 05:30,-168.6406507,-5.345181629
-150.8291896,03-04-2013 05:30,-150.8291896,-6.982855713
-177.0050747,04-04-2013 05:30,-177.0050747,-7.341592625
-187.4968184,05-04-2013 05:30,-187.4968184,-7.513449381
-175.7277482,08-04-2013 05:30,-175.7277482,-8.311849197
-197.0326006,09-04-2013 05:30,-197.0326006,-7.250653735
-206.942706,10-04-2013 05:30,-206.942706,-6.661661035
-198.8085361,11-04-2013 05:30,-198.8085361,-7.753726192
-202.9325253,12-04-2013 05:30,-202.9325253,-7.088809878
-191.825996,15-04-2013 05:30,-191.825996,-5.077375464
-184.2966371,16-04-2013 05:30,-184.2966371,-5.081546824
-156.9727804,17-04-2013 05:30,-156.9727804,-3.506443115
-145.476764,18-04-2013 05:30,-145.476764,-2.650483427
-114.3481932,22-04-2013 05:30,-114.3481932,-2.608769833
-102.1794942,23-04-2013 05:30,-102.1794942,-1.283947691
-90.12153353,25-04-2013 05:30,-90.12153353,-2.032283068
-79.42378644,26-04-2013 05:30,-79.42378644,-1.487505143
-40.61603014,29-04-2013 05:30,-40.61603014,-1.052013599
-41.50600161,30-04-2013 05:30,-41.50600161,0.101782806
-16.09401168,02-05-2013 05:30,-16.09401168,-0.821757811
-28.16558002,03-05-2013 05:30,-28.16558002,-0.370419972
-4.429718641,06-05-2013 05:30,-4.429718641,0.839274267
16.28638571,07-05-2013 05:30,16.28638571,1.26892429
66.34492501,08-05-2013 05:30,66.34492501,0.949399775
58.64895539,09-05-2013 05:30,58.64895539,1.693571935
74.18090641,10-05-2013 05:30,74.18090641,-0.21357035
87.62058511,11-05-2013 05:30,87.62058511,0.035872056
69.52637729,13-05-2013 05:30,69.52637729,2.5612147
66.77742481,14-05-2013 05:30,66.77742481,2.947480949
93.76670769,15-05-2013 05:30,93.76670769,3.237805948
94.763148,16-05-2013 05:30,94.763148,2.730570258
99.76496659,17-05-2013 05:30,99.76496659,2.016436791
97.26679841,20-05-2013 05:30,97.26679841,1.689400576
109.4119976,21-05-2013 05:30,109.4119976,-0.437161724
110.2472975,22-05-2013 05:30,110.2472975,-0.161852
74.19925944,23-05-2013 05:30,74.19925944,1.500019222
85.83894604,24-05-2013 05:30,85.83894604,1.968881659
105.7658115,27-05-2013 05:30,105.7658115,1.852914612
123.1277494,28-05-2013 05:30,123.1277494,2.182452009
122.6846195,29-05-2013 05:30,122.6846195,-0.121800442
135.0743164,30-05-2013 05:30,135.0743164,-0.900182622
118.7877828,31-05-2013 05:30,118.7877828,-1.231382055
134.6846238,03-06-2013 05:30,134.6846238,-1.157967747
146.0274418,04-06-2013 05:30,146.0274418,-1.19885034
157.083305,05-06-2013 05:30,157.083305,-1.872940391
157.6519286,06-06-2013 05:30,157.6519286,-1.922996705
156.9831368,07-06-2013 05:30,156.9831368,-3.411341009
160.7630523,10-06-2013 05:30,160.7630523,-3.888538022
117.6611541,11-06-2013 05:30,117.6611541,-4.908019889
94.68784596,12-06-2013 05:30,94.68784596,-3.08430481
51.19330215,13-06-2013 05:30,51.19330215,-2.389357944
89.40933784,14-06-2013 05:30,89.40933784,-2.997537263
121.201805,17-06-2013 05:30,121.201805,-2.853209861
138.0751402,18-06-2013 05:30,138.0751402,-5.628834072
141.1212532,19-06-2013 05:30,141.1212532,-5.432780178
114.5763736,20-06-2013 05:30,114.5763736,-6.724231427
110.5311526,21-06-2013 05:30,110.5311526,-6.40970929
38.70598611,24-06-2013 05:30,38.70598611,-6.750090602
43.77911608,25-06-2013 05:30,43.77911608,-5.187500972
41.76109429,26-06-2013 05:30,41.76109429,-2.520332124
54.04868331,27-06-2013 05:30,54.04868331,-1.575103692
70.26159416,28-06-2013 05:30,70.26159416,-2.264217161
0,01-07-2013 05:30,70.26159,-3.710008726
8.087778534,02-07-2013 05:30,78.34936853,-2.607930672
-3.189884034,03-07-2013 05:30,67.07170597,-2.091521261
18.34061282,04-07-2013 05:30,88.60220282,-3.031747299
16.09336821,05-07-2013 05:30,86.35495821,-2.240020023
26.76706148,08-07-2013 05:30,97.02865148,-2.945810787
38.6508123,09-07-2013 05:30,108.9124023,-0.970256572
37.90016528,10-07-2013 05:30,108.1617553,0.262795645
44.36068897,11-07-2013 05:30,114.622279,0.626534935
66.3828226,12-07-2013 05:30,136.6444126,-0.634046636
98.29421414,15-07-2013 05:30,168.5558041,-0.332877737
87.54221129,16-07-2013 05:30,157.8038013,0.747504359
83.86112213,17-07-2013 05:30,154.1227121,0.599844742
114.6585918,18-07-2013 05:30,184.9201818,0.643220373
