date,close,date_fm
02-01-2013,5993.25,2013-01-02
03-01-2013,6009.5,2013-01-03
04-01-2013,6016.149902,2013-01-04
07-01-2013,5988.399902,2013-01-07
08-01-2013,6001.700195,2013-01-08
09-01-2013,5971.5,2013-01-09
10-01-2013,5968.649902,2013-01-10
11-01-2013,5951.299805,2013-01-11
14-01-2013,6024.049805,2013-01-14
15-01-2013,6056.600098,2013-01-15
16-01-2013,6001.850098,2013-01-16
17-01-2013,6039.200195,2013-01-17
18-01-2013,6064.399902,2013-01-18
21-01-2013,6082.299805,2013-01-21
22-01-2013,6048.5,2013-01-22
23-01-2013,6054.299805,2013-01-23
24-01-2013,6019.350098,2013-01-24
25-01-2013,6074.649902,2013-01-25
28-01-2013,6074.799805,2013-01-28
29-01-2013,6049.899902,2013-01-29
30-01-2013,6055.75,2013-01-30
31-01-2013,6034.75,2013-01-31
01-02-2013,5998.899902,2013-02-01
04-02-2013,5987.25,2013-02-04
05-02-2013,5956.899902,2013-02-05
06-02-2013,5959.200195,2013-02-06
07-02-2013,5938.799805,2013-02-07
08-02-2013,5903.5,2013-02-08
11-02-2013,5897.850098,2013-02-11
12-02-2013,5922.5,2013-02-12
13-02-2013,5932.950195,2013-02-13
14-02-2013,5896.950195,2013-02-14
15-02-2013,5887.399902,2013-02-15
18-02-2013,5898.200195,2013-02-18
19-02-2013,5939.700195,2013-02-19
20-02-2013,5943.049805,2013-02-20
21-02-2013,5852.25,2013-02-21
22-02-2013,5850.299805,2013-02-22
25-02-2013,5854.75,2013-02-25
26-02-2013,5761.350098,2013-02-26
27-02-2013,5796.899902,2013-02-27
28-02-2013,5693.049805,2013-02-28
01-03-2013,5719.700195,2013-03-01
04-03-2013,5698.5,2013-03-04
05-03-2013,5784.25,2013-03-05
06-03-2013,5818.600098,2013-03-06
07-03-2013,5863.299805,2013-03-07
08-03-2013,5945.700195,2013-03-08
11-03-2013,5942.350098,2013-03-11
12-03-2013,5914.100098,2013-03-12
13-03-2013,5851.200195,2013-03-13
14-03-2013,5908.950195,2013-03-14
15-03-2013,5872.600098,2013-03-15
18-03-2013,5835.25,2013-03-18
19-03-2013,5745.950195,2013-03-19
20-03-2013,5694.399902,2013-03-20
21-03-2013,5658.75,2013-03-21
22-03-2013,5651.350098,2013-03-22
25-03-2013,5633.850098,2013-03-25
26-03-2013,5641.600098,2013-03-26
28-03-2013,5682.549805,2013-03-28
01-04-2013,5704.399902,2013-04-01
02-04-2013,5748.100098,2013-04-02
03-04-2013,5672.899902,2013-04-03
04-04-2013,5574.75,2013-04-04
05-04-2013,5553.25,2013-04-05
08-04-2013,5542.950195,2013-04-08
09-04-2013,5495.100098,2013-04-09
10-04-2013,5558.700195,2013-04-10
11-04-2013,5594.0,2013-04-11
12-04-2013,5528.549805,2013-04-12
15-04-2013,5568.399902,2013-04-15
16-04-2013,5688.950195,2013-04-16
17-04-2013,5688.700195,2013-04-17
18-04-2013,5783.100098,2013-04-18
22-04-2013,5834.399902,2013-04-22
23-04-2013,5836.899902,2013-04-23
25-04-2013,5916.299805,2013-04-25
26-04-2013,5871.450195,2013-04-26
29-04-2013,5904.100098,2013-04-29
30-04-2013,5930.200195,2013-04-30
02-05-2013,5999.350098,2013-05-02
03-05-2013,5944.0,2013-05-03
06-05-2013,5971.049805,2013-05-06
07-05-2013,6043.549805,2013-05-07
08-05-2013,6069.299805,2013-05-08
09-05-2013,6050.149902,2013-05-09
10-05-2013,6094.75,2013-05-10
13-05-2013,5980.450195,2013-05-13
14-05-2013,5995.399902,2013-05-14
15-05-2013,6146.75,2013-05-15
16-05-2013,6169.899902,2013-05-16
17-05-2013,6187.299805,2013-05-17
20-05-2013,6156.899902,2013-05-20
21-05-2013,6114.100098,2013-05-21
22-05-2013,6094.5,2013-05-22
23-05-2013,5967.049805,2013-05-23
24-05-2013,5983.549805,2013-05-24
27-05-2013,6083.149902,2013-05-27
28-05-2013,6111.25,2013-05-28
29-05-2013,6104.299805,2013-05-29
30-05-2013,6124.049805,2013-05-30
31-05-2013,5985.950195,2013-05-31
03-06-2013,5939.299805,2013-06-03
04-06-2013,5919.450195,2013-06-04
05-06-2013,5923.850098,2013-06-05
06-06-2013,5921.399902,2013-06-06
07-06-2013,5881.0,2013-06-07
10-06-2013,5878.0,2013-06-10
11-06-2013,5788.799805,2013-06-11
12-06-2013,5760.200195,2013-06-12
13-06-2013,5699.100098,2013-06-13
14-06-2013,5808.399902,2013-06-14
17-06-2013,5850.049805,2013-06-17
18-06-2013,5813.600098,2013-06-18
19-06-2013,5822.25,2013-06-19
20-06-2013,5655.899902,2013-06-20
21-06-2013,5667.649902,2013-06-21
24-06-2013,5590.25,2013-06-24
25-06-2013,5609.100098,2013-06-25
26-06-2013,5588.700195,2013-06-26
27-06-2013,5682.350098,2013-06-27
28-06-2013,5842.200195,2013-06-28
01-07-2013,5898.850098,2013-07-01
02-07-2013,5857.549805,2013-07-02
03-07-2013,5770.899902,2013-07-03
04-07-2013,5836.950195,2013-07-04
05-07-2013,5867.899902,2013-07-05
08-07-2013,5811.549805,2013-07-08
09-07-2013,5859.0,2013-07-09
10-07-2013,5816.700195,2013-07-10
11-07-2013,5935.100098,2013-07-11
12-07-2013,6009.0,2013-07-12
15-07-2013,6030.799805,2013-07-15
