date,close,date_fm
02-01-2013,5993.25,02-01-2013
03-01-2013,6009.5,03-01-2013
04-01-2013,6016.149902,04-01-2013
07-01-2013,5988.399902,07-01-2013
08-01-2013,6001.700195,08-01-2013
09-01-2013,5971.5,09-01-2013
10-01-2013,5968.649902,10-01-2013
11-01-2013,5951.299805,11-01-2013
14-01-2013,6024.049805,14-01-2013
15-01-2013,6056.600098,15-01-2013
16-01-2013,6001.850098,16-01-2013
17-01-2013,6039.200195,17-01-2013
18-01-2013,6064.399902,18-01-2013
21-01-2013,6082.299805,21-01-2013
22-01-2013,6048.5,22-01-2013
23-01-2013,6054.299805,23-01-2013
24-01-2013,6019.350098,24-01-2013
25-01-2013,6074.649902,25-01-2013
28-01-2013,6074.799805,28-01-2013
29-01-2013,6049.899902,29-01-2013
30-01-2013,6055.75,30-01-2013
31-01-2013,6034.75,31-01-2013
01-02-2013,5998.899902,01-02-2013
04-02-2013,5987.25,04-02-2013
05-02-2013,5956.899902,05-02-2013
06-02-2013,5959.200195,06-02-2013
07-02-2013,5938.799805,07-02-2013
08-02-2013,5903.5,08-02-2013
11-02-2013,5897.850098,11-02-2013
12-02-2013,5922.5,12-02-2013
13-02-2013,5932.950195,13-02-2013
14-02-2013,5896.950195,14-02-2013
15-02-2013,5887.399902,15-02-2013
18-02-2013,5898.200195,18-02-2013
19-02-2013,5939.700195,19-02-2013
20-02-2013,5943.049805,20-02-2013
21-02-2013,5852.25,21-02-2013
22-02-2013,5850.299805,22-02-2013
25-02-2013,5854.75,25-02-2013
26-02-2013,5761.350098,26-02-2013
27-02-2013,5796.899902,27-02-2013
28-02-2013,5693.049805,28-02-2013
01-03-2013,5719.700195,01-03-2013
04-03-2013,5698.5,04-03-2013
05-03-2013,5784.25,05-03-2013
06-03-2013,5818.600098,06-03-2013
07-03-2013,5863.299805,07-03-2013
08-03-2013,5945.700195,08-03-2013
11-03-2013,5942.350098,11-03-2013
12-03-2013,5914.100098,12-03-2013
13-03-2013,5851.200195,13-03-2013
14-03-2013,5908.950195,14-03-2013
15-03-2013,5872.600098,15-03-2013
18-03-2013,5835.25,18-03-2013
19-03-2013,5745.950195,19-03-2013
20-03-2013,5694.399902,20-03-2013
21-03-2013,5658.75,21-03-2013
22-03-2013,5651.350098,22-03-2013
25-03-2013,5633.850098,25-03-2013
26-03-2013,5641.600098,26-03-2013
28-03-2013,5682.549805,28-03-2013
01-04-2013,5704.399902,01-04-2013
02-04-2013,5748.100098,02-04-2013
03-04-2013,5672.899902,03-04-2013
04-04-2013,5574.75,04-04-2013
05-04-2013,5553.25,05-04-2013
08-04-2013,5542.950195,08-04-2013
09-04-2013,5495.100098,09-04-2013
10-04-2013,5558.700195,10-04-2013
11-04-2013,5594,11-04-2013
12-04-2013,5528.549805,12-04-2013
15-04-2013,5568.399902,15-04-2013
16-04-2013,5688.950195,16-04-2013
17-04-2013,5688.700195,17-04-2013
18-04-2013,5783.100098,18-04-2013
22-04-2013,5834.399902,22-04-2013
23-04-2013,5836.899902,23-04-2013
25-04-2013,5916.299805,25-04-2013
26-04-2013,5871.450195,26-04-2013
29-04-2013,5904.100098,29-04-2013
30-04-2013,5930.200195,30-04-2013
02-05-2013,5999.350098,02-05-2013
03-05-2013,5944,03-05-2013
06-05-2013,5971.049805,06-05-2013
07-05-2013,6043.549805,07-05-2013
08-05-2013,6069.299805,08-05-2013
09-05-2013,6050.149902,09-05-2013
10-05-2013,6094.75,10-05-2013
13-05-2013,5980.450195,13-05-2013
14-05-2013,5995.399902,14-05-2013
15-05-2013,6146.75,15-05-2013
16-05-2013,6169.899902,16-05-2013
17-05-2013,6187.299805,17-05-2013
20-05-2013,6156.899902,20-05-2013
21-05-2013,6114.100098,21-05-2013
22-05-2013,6094.5,22-05-2013
23-05-2013,5967.049805,23-05-2013
24-05-2013,5983.549805,24-05-2013
27-05-2013,6083.149902,27-05-2013
28-05-2013,6111.25,28-05-2013
29-05-2013,6104.299805,29-05-2013
30-05-2013,6124.049805,30-05-2013
31-05-2013,5985.950195,31-05-2013
03-06-2013,5939.299805,03-06-2013
04-06-2013,5919.450195,04-06-2013
05-06-2013,5923.850098,05-06-2013
