result,date_fm
0,02-01-2013
0.271138364,03-01-2013
0.38209489,04-01-2013
-0.080926008,07-01-2013
0.140995203,08-01-2013
-0.362908272,09-01-2013
-0.410463405,10-01-2013
-0.699957369,11-01-2013
0.51390823,14-01-2013
1.057024119,15-01-2013
0.1434964,16-01-2013
0.76669912,17-01-2013
1.187167263,18-01-2013
1.485834981,21-01-2013
0.921870438,22-01-2013
1.018642723,23-01-2013
0.435491561,24-01-2013
1.358193,25-01-2013
1.360694198,28-01-2013
0.945228415,29-01-2013
1.042839862,30-01-2013
0.692445668,31-01-2013
0.094271088,01-02-2013
-0.100112627,04-02-2013
-0.606517299,05-02-2013
-0.568135903,06-02-2013
-0.908525341,07-02-2013
-1.497518041,08-02-2013
-1.591789129,11-02-2013
-1.180494723,12-02-2013
-1.006128645,13-02-2013
-1.606804405,14-02-2013
-1.766155225,15-02-2013
-1.585947608,18-02-2013
-0.89350194,19-02-2013
-0.83761223,20-02-2013
-2.352646728,21-02-2013
-2.385186585,22-02-2013
-2.310933133,25-02-2013
-3.869351387,26-02-2013
-3.276187344,27-02-2013
-5.008971676,28-02-2013
-4.564298252,01-03-2013
-4.918032787,04-03-2013
-3.487256497,05-03-2013
-2.914110074,06-03-2013
-2.168275894,07-03-2013
-0.793389313,08-03-2013
-0.849287148,11-03-2013
-1.320650765,12-03-2013
-2.370163184,13-03-2013
-1.406579152,14-03-2013
-2.013096433,15-03-2013
-2.63629917,18-03-2013
-4.12630551,19-03-2013
-4.986444717,20-03-2013
-5.581278939,21-03-2013
-5.704749543,22-03-2013
-5.996744704,25-03-2013
-5.867432562,26-03-2013
-5.184168773,28-03-2013
-4.819590339,01-04-2013
-4.090433438,02-04-2013
-5.345181629,03-04-2013
-6.982855713,04-04-2013
-7.341592625,05-04-2013
-7.513449381,08-04-2013
-8.311849197,09-04-2013
-7.250653735,10-04-2013
-6.661661035,11-04-2013
-7.753726192,12-04-2013
-7.088809878,15-04-2013
-5.077375464,16-04-2013
-5.081546824,17-04-2013
-3.506443115,18-04-2013
-2.650483427,22-04-2013
-2.608769833,23-04-2013
-1.283947691,25-04-2013
-2.032283068,26-04-2013
-1.487505143,29-04-2013
-1.052013599,30-04-2013
0.101782806,02-05-2013
-0.821757811,03-05-2013
-0.370419972,06-05-2013
0.839274267,07-05-2013
1.26892429,08-05-2013
0.949399775,09-05-2013
1.693571935,10-05-2013
-0.21357035,13-05-2013
0.035872056,14-05-2013
2.5612147,15-05-2013
2.947480949,16-05-2013
3.237805948,17-05-2013
2.730570258,20-05-2013
2.016436791,21-05-2013
1.689400576,22-05-2013
-0.437161724,23-05-2013
-0.161852,24-05-2013
1.500019222,27-05-2013
1.968881659,28-05-2013
1.852914612,29-05-2013
2.182452009,30-05-2013
-0.121800442,31-05-2013
-0.900182622,03-06-2013
-1.231382055,04-06-2013
-1.157967747,05-06-2013
-1.19885034,06-06-2013
-1.872940391,07-06-2013
-1.922996705,10-06-2013
-3.411341009,11-06-2013
-3.888538022,12-06-2013
-4.908019889,13-06-2013
-3.08430481,14-06-2013
-2.389357944,17-06-2013
-2.997537263,18-06-2013
-2.853209861,19-06-2013
-5.628834072,20-06-2013
-5.432780178,21-06-2013
-6.724231427,24-06-2013
-6.40970929,25-06-2013
-6.750090602,26-06-2013
-5.187500972,27-06-2013
-2.520332124,28-06-2013
-1.575103692,01-07-2013
-2.264217161,02-07-2013
-3.710008726,03-07-2013
-2.607930672,04-07-2013
-2.091521261,05-07-2013
-3.031747299,08-07-2013
-2.240020023,09-07-2013
-2.945810787,10-07-2013
-0.970256572,11-07-2013
0.262795645,12-07-2013
0.626534935,15-07-2013
-0.634046636,16-07-2013
-0.332877737,17-07-2013
0.747504359,18-07-2013
0.599844742,19-07-2013
0.643220373,22-07-2013
1.410750511,23-07-2013
-0.045884954,24-07-2013
-1.43077629,25-07-2013
-1.786172861,26-07-2013
-2.696368381,29-07-2013
-3.974474534,30-07-2013
-4.192216243,31-07-2013
-4.428313553,01-08-2013
-5.26175444,02-08-2013
-5.136613657,05-08-2013
-7.525132441,06-08-2013
-7.91139869,07-08-2013
-7.134694832,08-08-2013
-6.354650615,12-08-2013
-4.90468769,13-08-2013
-4.187213866,14-08-2013
-8.099109865,16-08-2013
-9.652525758,19-08-2013
-9.874438827,20-08-2013
-11.52463513,21-08-2013
-9.757640763,22-08-2013
-8.701455804,23-08-2013
-8.622199975,26-08-2013
-11.77657873,27-08-2013
-11.81746131,28-08-2013
-9.747636007,29-08-2013
-8.700624786,30-08-2013
-7.383306219,02-09-2013
-10.87556509,03-09-2013
-9.096064773,04-09-2013
-6.679177491,05-09-2013
-5.220040846,06-09-2013
-1.610144746,10-09-2013
-1.336505202,11-09-2013
-2.378505902,12-09-2013
-2.380176065,13-09-2013
-2.547869603,16-09-2013
-2.386848621,17-09-2013
-1.56509081,18-09-2013
2.040625787,19-09-2013
0.314522137,20-09-2013
-1.726942811,23-09-2013
-1.681888875,24-09-2013
-1.992239636,25-09-2013
-1.852083594,26-09-2013
-2.670501064,27-09-2013
-4.30401193,30-09-2013
-3.557338589,01-10-2013
-1.394065073,03-10-2013
-1.434116631,04-10-2013
-1.453303266,07-10-2013
-1.082052275,08-10-2013
0.23693647,09-10-2013
0.46218988,10-10-2013
1.717769074,11-10-2013
1.993078797,14-10-2013
1.598461686,15-10-2013
0.877655663,17-10-2013
3.272015985,18-10-2013
3.532310433,21-10-2013
3.496430234,22-10-2013
3.088476169,23-10-2013
2.85488004,24-10-2013
2.530345005,25-10-2013
1.7995261,28-10-2013
3.798438276,29-10-2013
4.312354649,30-10-2013
5.104073783,31-10-2013
5.238396446,01-11-2013
4.336543645,05-11-2013
3.702497009,06-11-2013
3.23697493,07-11-2013
2.461102073,08-11-2013
1.427435949,11-11-2013
0.413795603,12-11-2013
-0.060900213,13-11-2013
1.049512401,14-11-2013
3.266174446,18-11-2013
3.505612114,19-11-2013
2.163265374,20-11-2013
0.096772285,21-11-2013
0.036711217,22-11-2013
2.037293589,25-11-2013
1.098737713,26-11-2013
1.065366838,27-11-2013
1.645185801,28-11-2013
3.050933934,29-11-2013
3.747550961,02-12-2013
3.480583957,03-12-2013
2.79815117,04-12-2013
4.13548739,05-12-2013
4.44917035,06-12-2013
6.18445588,09-12-2013
5.666376307,10-12-2013
5.250071364,11-12-2013
4.067906478,12-12-2013
2.922452793,13-12-2013
2.693867184,16-12-2013
2.432733575,17-12-2013
3.735867885,18-12-2013
2.893253277,19-12-2013
4.688608017,20-12-2013
4.859633755,23-12-2013
4.590996571,24-12-2013
4.766193668,26-12-2013
5.348513828,27-12-2013
4.969759279,30-12-2013
3.802609636,02-01-2014
3.635755258,03-01-2014
3.307057022,06-01-2014
2.819838986,07-01-2014
3.025905777,08-01-2014
2.921621791,09-01-2014
2.973348267,10-01-2014
4.663579861,13-01-2014
4.148001468,14-01-2014
5.466982055,15-01-2014
5.433611179,16-01-2014
4.478369866,17-01-2014
5.184168773,20-01-2014
5.348513828,21-01-2014
5.768159096,22-01-2014
5.87994664,23-01-2014
4.563467234,24-01-2014
2.379345063,27-01-2014
2.219163225,28-01-2014
2.119050599,29-01-2014
1.342346723,30-01-2014
1.605973387,31-01-2014
0.142657239,03-02-2014
0.127641964,04-02-2014
0.486378876,05-02-2014
0.718304843,06-02-2014
1.167149627,07-02-2014
1.004466608,10-02-2014
1.158806908,11-02-2014
1.514203479,12-02-2014
0.130982322,13-02-2014
0.919369257,14-02-2014
,17-02-2014
2.233347483,18-02-2014
2.661327327,19-02-2014
1.638513244,20-02-2014
2.706381262,21-02-2014
3.217788312,24-02-2014
3.45054528,25-02-2014
4.097105994,26-02-2014
4.733661953,28-02-2014
3.807620156,03-03-2014
5.084056146,04-03-2014
5.596294198,05-03-2014
6.805988437,06-03-2014
8.900010879,07-03-2014
9.076878155,10-03-2014
8.653900672,11-03-2014
8.737327861,12-03-2014
8.340217712,13-03-2014
8.525427689,14-03-2014
8.733156501,18-03-2014
8.856627122,19-03-2014
8.173363334,20-03-2014
8.341887874,21-03-2014
,22-03-2014
9.848579652,24-03-2014
9.952863638,25-03-2014
10.14724735,26-03-2014
10.8205064,27-03-2014
11.72402122,28-03-2014
11.86251525,31-03-2014
12.14365837,01-04-2014
12.66924966,02-04-2014
12.39477909,03-04-2014
11.69816207,04-04-2014
11.70983698,07-04-2014
13.39757552,09-04-2014
13.40090772,10-04-2014
13.0655288,11-04-2014
12.34472278,15-04-2014
11.38029959,16-04-2014
13.11725528,17-04-2014
13.75547327,21-04-2014
13.71710004,22-04-2014
14.14173954,23-04-2014
,24-04-2014
13.17315313,25-04-2014
12.81441622,28-04-2014
12.04688608,29-04-2014
11.73236394,30-04-2014
11.70566562,02-05-2014
11.78158925,05-05-2014
12.0477171,06-05-2014
11.00070588,07-05-2014
11.12251446,08-05-2014
14.44207742,09-05-2014
17.03583198,12-05-2014
18.61260585,13-05-2014
18.61260585,14-05-2014
18.85287452,15-05-2014
20.18520836,16-05-2014
21.19550836,19-05-2014
21.3949026,20-05-2014
21.01781007,21-05-2014
21.40991786,22-05-2014
22.92329033,23-05-2014
22.78896767,26-05-2014
22.1040337,27-05-2014
22.29841742,28-05-2014
20.72998627,29-05-2014
20.63488416,30-05-2014
22.84653569,02-06-2014
23.73670543,03-06-2014
23.50978184,04-06-2014
24.70863218,05-06-2014
26.53234726,06-06-2014
27.7203537,09-06-2014
27.75038422,10-06-2014
27.2573328,11-06-2014
27.64192887,12-06-2014
25.84324195,13-06-2014
25.70057657,16-06-2014
27.33825879,17-06-2014
26.11187911,18-06-2014
25.81988395,19-06-2014
25.3318349,20-06-2014
25.02982686,23-06-2014
26.47895875,24-06-2014
26.29624995,25-06-2014
25.02732566,26-06-2014
25.28761198,27-06-2014
26.99870851,30-06-2014
27.3883151,01-07-2014
28.89750806,02-07-2014
28.72481216,03-07-2014
29.33884116,04-07-2014
29.93200521,07-07-2014
27.19643257,08-07-2014
26.55904559,09-07-2014
26.27122179,10-07-2014
24.46669333,11-07-2014
24.37575442,14-07-2014
25.58544866,15-07-2014
27.21645021,16-07-2014
27.48425637,17-07-2014
27.875525,18-07-2014
28.21424427,21-07-2014
29.60997953,22-07-2014
30.07550161,23-07-2014
30.65699075,24-07-2014
29.98707204,25-07-2014
29.29045501,28-07-2014
30.00291832,30-07-2014
28.83326751,31-07-2014
26.85271093,01-08-2014
28.2050624,04-08-2014
29.25457481,05-08-2014
28.0115097,06-08-2014
27.63108497,07-08-2014
26.28456689,08-08-2014
27.24231752,11-08-2014
28.92920878,12-08-2014
29.13777675,13-08-2014
30.00792884,14-08-2014
31.38530847,18-08-2014
31.7732449,19-08-2014
31.40282493,20-08-2014
31.66645973,21-08-2014
32.03520953,22-08-2014
31.9200735,25-08-2014
31.89421432,26-08-2014
32.41646527,27-08-2014
32.72181367,28-08-2014
33.94569215,01-09-2014
34.86922463,02-09-2014
35.39565508,03-09-2014
35.08447328,04-09-2014
34.93263418,05-09-2014
36.38509827,08-09-2014
36.03554324,09-09-2014
35.0536036,10-09-2014
34.91344755,11-09-2014
35.24381596,12-09-2014
34.18429066,15-09-2014
32.36390776,16-09-2014
33.07470905,17-09-2014
35.39815626,18-09-2014
35.50995195,19-09-2014
35.92457857,22-09-2014
33.77632845,23-09-2014
33.52354569,24-09-2014
32.01268257,25-09-2014
32.96375252,26-09-2014
32.79772915,29-09-2014
32.89617161,30-09-2014
32.57497693,01-10-2014
31.02073002,07-10-2014
30.85888616,08-10-2014
32.8252585,09-10-2014
31.14670997,10-10-2014
31.55216285,13-10-2014
31.21428273,14-10-2014
,15-10-2014
29.28211229,16-10-2014
29.80770358,17-10-2014
31.47123684,20-10-2014
32.27797939,21-10-2014
33.41509034,22-10-2014
33.34501639,27-10-2014
33.94402199,28-10-2014
34.99270337,29-10-2014
36.3066816,30-10-2014
38.85955358,31-10-2014
38.89209346,03-11-2014
39.12818262,05-11-2014
39.10649481,07-11-2014
39.22746423,10-11-2014
39.53448281,11-11-2014
39.87902732,12-11-2014
39.45437966,13-11-2014
39.98916099,14-11-2014
40.6707546,17-11-2014
40.58983675,18-11-2014
39.86234188,19-11-2014
40.18938624,20-11-2014
41.44828948,21-11-2014
42.32929364,24-11-2014
41.21052199,25-11-2014
41.4215993,26-11-2014
41.72944888,27-11-2014
43.29871105,28-11-2014
42.75894366,01-12-2014
42.23835473,02-12-2014
42.45443442,03-12-2014
42.90076988,04-12-2014
42.46527018,05-12-2014
40.79589538,08-12-2014
39.16823418,09-12-2014
39.41768475,10-12-2014
38.37067352,11-12-2014
37.22270236,12-12-2014
37.14761789,15-12-2014
34.6114395,16-12-2014
33.98072507,17-12-2014
36.14148926,18-12-2014
37.24106612,19-12-2014
38.88958412,22-12-2014
37.93851416,23-12-2014
36.38843863,24-12-2014
36.83227289,26-12-2014
37.59312235,29-12-2014
37.6256622,30-12-2014
40.0817619,02-01-2015
39.79727845,05-01-2015
35.60839441,06-01-2015
35.18708711,07-01-2015
37.39789945,08-01-2015
38.23050932,09-01-2015
38.87289868,12-01-2015
38.47912887,13-01-2015
38.11454228,14-01-2015
41.72861788,15-01-2015
42.05647695,16-01-2015
42.67217611,19-01-2015
45.08988627,20-01-2015
45.65552914,21-01-2015
46.18780113,22-01-2015
47.42584756,23-01-2015
48.67559338,27-01-2015
48.73899479,28-01-2015
49.37387242,29-01-2015
46.98035942,30-01-2015
46.78847689,02-02-2015
46.10686698,03-02-2015
45.55875685,04-02-2015
45.3585316,05-02-2015
44.51340767,06-02-2015
42.26587593,09-02-2015
42.91994836,10-02-2015
43.95195246,11-02-2015
45.35602228,12-02-2015
46.92362241,13-02-2015
46.98785482,16-02-2015
47.98480973,18-02-2015
48.42197147,19-02-2015
47.39247669,20-02-2015
46.08017678,23-02-2015
46.19946788,24-02-2015
46.28540441,25-02-2015
44.89383238,26-02-2015
47.5760165,27-02-2015
,28-02-2015
49.44729487,02-03-2015
50.10636967,03-03-2015
48.87832797,04-03-2015
49.13027156,05-03-2015
46.11020732,09-03-2015
45.36436499,10-03-2015
45.1624777,11-03-2015
46.43140199,12-03-2015
44.2914946,13-03-2015
44.04789373,16-03-2015
45.55207617,17-03-2015
44.92805057,18-03-2015
44.07292189,19-03-2015
43.00922523,20-03-2015
42.67551647,23-03-2015
42.54286397,24-03-2015
42.3401294,25-03-2015
39.19243134,26-03-2015
39.17991726,27-03-2015
41.69774004,30-03-2015
41.67605223,31-03-2015
43.26534017,01-04-2015
44.49422919,06-04-2015
44.50089359,07-04-2015
45.40358555,08-04-2015
46.46977525,09-04-2015
46.50397712,10-04-2015
47.39915739,13-04-2015
,15-04-2015
45.27510441,16-04-2015
43.59487757,17-04-2015
40.96024042,20-04-2015
39.7864264,21-04-2015
40.65323814,22-04-2015
40.12930889,23-04-2015
38.57673216,24-04-2015
37.05084562,27-04-2015
38.24885678,28-04-2015
37.48383598,29-04-2015
36.51190923,30-04-2015
39.0222366,04-05-2015
